Observation unit ID	Date	TubN_total_per_plant	TubW_total_per_plant	TubN_average_per_genotype	TubW_average_per_genotype
WUR:CE-NL99-WUR:CE730-1	1999-11-14	57	1415.77		
WUR:CE-NL99-WUR:CE730-2	1999-11-14	79	1216.23		
WUR:CE-NL99-WUR:CE732-1	1999-11-14	81	2348.78		
WUR:CE-NL99-WUR:CE732-2	1999-11-14	48	1268.41		
WUR:CE-NL99-WUR:CE733-1	1999-11-14	142	2242.08		
WUR:CE-NL99-WUR:CE733-2	1999-11-14	36	807.24		
WUR:CE-NL99-WUR:CE734-1	1999-11-14	23	729.76		
WUR:CE-NL99-WUR:CE734-2	1999-11-14	47	1364.91		
WUR:CE-NL99-WUR:CE735-1	1999-11-14	150	1109.18		
WUR:CE-NL99-WUR:CE735-2	1999-11-14	45	712.99		
WUR:CE-NL99-WUR:CE736-1	1999-11-14	182	3299.2		
WUR:CE-NL99-WUR:CE736-2	1999-11-14	154	3753.8		
WUR:CE-NL99-WUR:CE737-1	1999-11-14	263	1574.98		
WUR:CE-NL99-WUR:CE737-2	1999-11-14	207	2165.8		
WUR:CE-NL99-WUR:CE738-1	1999-11-14	97	1937.66		
WUR:CE-NL99-WUR:CE738-2	1999-11-14				
WUR:CE-NL99-WUR:CE739-1	1999-11-14	60	1642.1		
WUR:CE-NL99-WUR:CE739-2	1999-11-14	45	69.53		
WUR:CE-NL99-WUR:CE740-1	1999-11-14	51	2245.9		
WUR:CE-NL99-WUR:CE740-2	1999-11-14	44	1385.11		
