Observation unit ID	Date	TubN_LT20	TubW_LT20	TubN_GE20	TubW_GE20	TubN_total_per_plant	TubW_total_per_plant
WUR:CE-ETH10-1-48-2	2010-12-01	4	25	21	700	25	725
WUR:CE-ETH10-1-48-3	2010-12-01	6	50	16	625	22	675
WUR:CE-ETH10-1-48-4	2010-12-01	13	40	12	395	25	435
WUR:CE-ETH10-1-49-1	2010-12-01	2	10	1	10	3	20
WUR:CE-ETH10-1-49-2	2010-12-01	1	8	2	35	3	43
WUR:CE-ETH10-1-49-3	2010-12-01	3	15	2	85	5	100
WUR:CE-ETH10-1-49-4	2010-12-01	3	15	3	100	6	115
WUR:CE-ETH10-1-50-1	2010-12-01	12	30	14	395	26	425
WUR:CE-ETH10-1-50-2	2010-12-01	13	40	7	95	20	135
WUR:CE-ETH10-1-50-3	2010-12-01	3	15	3	75	6	90
WUR:CE-ETH10-1-50-4	2010-12-01	16	65	10	180	26	245
WUR:CE-ETH10-1-51-1	2010-12-01	20	70	10	180	30	250
WUR:CE-ETH10-1-51-2	2010-12-01	15	55	6	105	21	160
WUR:CE-ETH10-1-51-3	2010-12-01	30	95	14	135	44	230
WUR:CE-ETH10-1-51-4	2010-12-01	20	60	3	25	23	85
WUR:CE-ETH10-1-52-1	2010-12-01	3	10	13	385	16	395
WUR:CE-ETH10-1-52-2	2010-12-01	1	5	14	200	15	205
WUR:CE-ETH10-1-52-3	2010-12-01	2	10	4	130	6	140
WUR:CE-ETH10-1-52-4	2010-12-01	4	25	8	200	12	225
WUR:CE-ETH10-1-53-1	2010-12-01	1	5	9	385	10	390
WUR:CE-ETH10-1-53-2	2010-12-01	2	10	13	220	15	230
WUR:CE-ETH10-1-53-3	2010-12-01	2	7	7	180	9	187
WUR:CE-ETH10-1-53-4	2010-12-01	4	25	8	185	12	210
WUR:CE-ETH10-1-54-1	2010-12-01	5	20	17	440	22	460
WUR:CE-ETH10-1-54-2	2010-12-01	10	15	23	680	33	695
WUR:CE-ETH10-1-54-3	2010-12-01	12	45	18	395	30	440
WUR:CE-ETH10-1-54-4	2010-12-01	10	40	15	610	25	650
WUR:CE-ETH10-1-55-1	2010-12-01	1	15	6	335	7	350
WUR:CE-ETH10-1-55-2	2010-12-01	7	40	3	160	10	200
WUR:CE-ETH10-1-55-3	2010-12-01	6	25	2	95	8	120
WUR:CE-ETH10-1-55-4	2010-12-01	5	20	8	390	13	410
WUR:CE-ETH10-1-56-1	2010-12-01	10	35	9	340	19	375
WUR:CE-ETH10-1-56-2	2010-12-01	3	17	3	170	6	187
WUR:CE-ETH10-1-56-3	2010-12-01	5	64	6	190	11	254
WUR:CE-ETH10-1-56-4	2010-12-01	3	30	4	85	7	115
WUR:CE-ETH10-1-57-1	2010-12-01	1	5	11	300	12	305
WUR:CE-ETH10-1-57-2	2010-12-01	8	25	21	360	29	385
